"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB00mA_ds3_1","Dryas","A","A_ds3_1",9291
"FLB00mB_ds3_1","Dryas","B","B_ds3_1",20443
"FLB01mA_ds2_1","Dryas","A","A_ds2_1",103
"FLB01mA_ds3_1","Dryas","A","A_ds3_1",9236
"FLB01mB_ds3_1","Dryas","B","B_ds3_1",38348
"FLB03mA_ds3_1","Dryas","A","A_ds3_1",28255
"FLB05mA_ds3_1","Dryas","A","A_ds3_1",17955
"FLB05mB_ds3_1","Dryas","B","B_ds3_1",759
"FLB06mA_ds3_1","Dryas","A","A_ds3_1",28717
"FLB06mB_ds3_1","Dryas","B","B_ds3_1",23644
"FLB08mA_ds1_1","Dryas","A","A_ds1_1",6972
"FLB08mA_ds2_1","Dryas","A","A_ds2_1",11941
"FLB08mA_ds3_1","Dryas","A","A_ds3_1",32190
"FLB08mB_ds3_1","Dryas","B","B_ds3_1",8941
"FLB10mA_ds3_1","Dryas","A","A_ds3_1",265
"FLB10mB_ds3_1","Dryas","B","B_ds3_1",3616
"FLB10mSdA_ds3_1","Dryas","dA","dA_ds3_1",10304
"FLB10mSdB_ds3_1","Dryas","dB","dB_ds3_1",4100
"FLB12mA_ds3_1","Dryas","A","A_ds3_1",2150
"FLB12mB_ds3_1","Dryas","B","B_ds3_1",2331
"FLB13mNA_ds3_1","Dryas","A","A_ds3_1",997
"FLB13mNB_ds3_1","Dryas","B","B_ds3_1",2821
"FLB13mSA_ds2_1","Dryas","A","A_ds2_1",149
"FLB16mNdA_ds2_1","Dryas","dA","dA_ds2_1",2532
"FLB16mNdA_ds3_1","Dryas","dA","dA_ds3_1",3506
"FLB16mNdB_ds3_1","Dryas","dB","dB_ds3_1",7582
"FLB16mNuA_ds2_1","Dryas","uA","uA_ds2_1",1234
"FLB16mNuA_ds3_1","Dryas","uA","uA_ds3_1",4072
"FLB16mNuB_ds3_1","Dryas","uB","uB_ds3_1",1299
"FLB18mB_ds3_1","Dryas","B","B_ds3_1",7900
"FLB38mA_ds2_1","Dryas","A","A_ds2_1",1733
"FLB38mA_ds3_1","Dryas","A","A_ds3_1",1856
"FLB38mB_ds3_1","Dryas","B","B_ds3_1",278
"FLB45mA_ds2_1","Dryas","A","A_ds2_1",6
"FLB45mA_ds3_1","Dryas","A","A_ds3_1",393
"FLB45mB_ds3_1","Dryas","B","B_ds3_1",169
"FLB54mA_ds3_1","Dryas","A","A_ds3_1",2
"FLB57mdA_ds2_1","Dryas","dA","dA_ds2_1",19
"FLB57mdA_ds2_2","Dryas","dA","dA_ds2_2",2
"FLB57mdA_ds3_1","Dryas","dA","dA_ds3_1",20
"FLB57mdB_ds3_1","Dryas","dB","dB_ds3_1",1
"FLB57muA_ds3_1","Dryas","uA","uA_ds3_1",2
"FLB57muB_ds3_1","Dryas","uB","uB_ds3_1",1
"FLB00mA_ds3_1","Salix","A","A_ds3_1",1992
"FLB00mB_ds3_1","Salix","B","B_ds3_1",2936
"FLB01mA_ds2_1","Salix","A","A_ds2_1",26
"FLB01mA_ds3_1","Salix","A","A_ds3_1",1343
"FLB01mB_ds3_1","Salix","B","B_ds3_1",3720
"FLB03mA_ds3_1","Salix","A","A_ds3_1",2336
"FLB05mA_ds3_1","Salix","A","A_ds3_1",2655
"FLB05mB_ds3_1","Salix","B","B_ds3_1",486
