"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB00mA_ss4_1","Dryas","A","A_ss4_1",4639
"FLB00mA_ss4_2a","Dryas","A","A_ss4_2",14241
"FLB00mA_ss4_2b","Dryas","A","A_ss4_2",16410
"FLB00mB_ss4_1","Dryas","B","B_ss4_1",708
"FLB01mA_ss4_1","Dryas","A","A_ss4_1",2603
"FLB01mB_ss4_1","Dryas","B","B_ss4_1",1566
"FLB03mA_ss4_1","Dryas","A","A_ss4_1",12929
"FLB03mA_ss4_2","Dryas","A","A_ss4_2",3019
"FLB05mA_ss4_1","Dryas","A","A_ss4_1",2459
"FLB05mA_ss4_2","Dryas","A","A_ss4_2",3418
"FLB05mB_ss4_1","Dryas","B","B_ss4_1",1320
"FLB05mB_ss4_2a","Dryas","B","B_ss4_2",1624
"FLB05mB_ss4_2b","Dryas","B","B_ss4_2",1758
"FLB05mB_ss4_3a","Dryas","B","B_ss4_3",1703
"FLB05mB_ss4_3b","Dryas","B","B_ss4_3",1621
"FLB06mA_ss4_1","Dryas","A","A_ss4_1",3592
"FLB06mA_ss4_2","Dryas","A","A_ss4_2",3268
"FLB06mB_ss4_1","Dryas","B","B_ss4_1",16159
"FLB06mB_ss4_2a","Dryas","B","B_ss4_2",8391
"FLB06mB_ss4_2b","Dryas","B","B_ss4_2",10766
"FLB08mA_ss4_1","Dryas","A","A_ss4_1",25158
"FLB08mA_ss4_2b","Dryas","A","A_ss4_2",4263
"FLB08mB_ss4_1","Dryas","B","B_ss4_1",1276
"FLB08mB_ss4_2a","Dryas","B","B_ss4_2a",3574
"FLB10mA_ss4_1","Dryas","A","A_ss4_1",436
"FLB10mA_ss4_2a","Dryas","A","A_ss4_2",140
"FLB10mA_ss4_2b","Dryas","A","A_ss4_2",68
"FLB10mA_ss4_3a","Dryas","A","A_ss4_3",83
"FLB10mA_ss4_3b","Dryas","A","A_ss4_3",47
"FLB10mB_ss4_1","Dryas","B","B_ss4_1",1471
"FLB10mB_ss4_2a","Dryas","B","B_ss4_2",2183
"FLB10mB_ss4_2b","Dryas","B","B_ss4_2",1595
"FLB10mB_ss4_3a","Dryas","B","B_ss4_3",3091
"FLB10mB_ss4_3b","Dryas","B","B_ss4_3",2220
