"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB00mA_ds3_1","f__34-128","A","A_ds3_1",12423
"FLB00mB_ds3_1","f__34-128","B","B_ds3_1",19875
"FLB01mA_ds2_1","f__34-128","A","A_ds2_1",679
"FLB01mA_ds3_1","f__34-128","A","A_ds3_1",6249
"FLB01mB_ds3_1","f__34-128","B","B_ds3_1",10387
"FLB03mA_ds3_1","f__34-128","A","A_ds3_1",20188
"FLB05mA_ds3_1","f__34-128","A","A_ds3_1",11373
"FLB05mB_ds3_1","f__34-128","B","B_ds3_1",3281
"FLB06mA_ds3_1","f__34-128","A","A_ds3_1",16900
"FLB06mB_ds3_1","f__34-128","B","B_ds3_1",16490
"FLB08mA_ds1_1","f__34-128","A","A_ds1_1",10147
"FLB08mA_ds2_1","f__34-128","A","A_ds2_1",16112
"FLB08mA_ds3_1","f__34-128","A","A_ds3_1",40942
"FLB08mB_ds3_1","f__34-128","B","B_ds3_1",12242
"FLB10mA_ds3_1","f__34-128","A","A_ds3_1",3254
"FLB10mB_ds3_1","f__34-128","B","B_ds3_1",22345
"FLB10mSdA_ds3_1","f__34-128","dA","dA_ds3_1",7803
"FLB10mSdB_ds3_1","f__34-128","dB","dB_ds3_1",4136
"FLB12mA_ds3_1","f__34-128","A","A_ds3_1",18954
"FLB12mB_ds3_1","f__34-128","B","B_ds3_1",20314
"FLB13mNA_ds3_1","f__34-128","A","A_ds3_1",26151
"FLB13mNB_ds3_1","f__34-128","B","B_ds3_1",25353
"FLB13mSA_ds2_1","f__34-128","A","A_ds2_1",102
"FLB16mNdA_ds2_1","f__34-128","dA","dA_ds2_1",8991
"FLB16mNdA_ds3_1","f__34-128","dA","dA_ds3_1",51646
"FLB16mNdB_ds3_1","f__34-128","dB","dB_ds3_1",56552
"FLB16mNuA_ds2_1","f__34-128","uA","uA_ds2_1",10841
"FLB16mNuA_ds3_1","f__34-128","uA","uA_ds3_1",36204
"FLB16mNuB_ds3_1","f__34-128","uB","uB_ds3_1",22481
"FLB18mB_ds3_1","f__34-128","B","B_ds3_1",17915
"FLB38mA_ds2_1","f__34-128","A","A_ds2_1",17928
"FLB38mA_ds3_1","f__34-128","A","A_ds3_1",57427
"FLB38mB_ds3_1","f__34-128","B","B_ds3_1",14904
"FLB45mA_ds2_1","f__34-128","A","A_ds2_1",3774
"FLB45mA_ds3_1","f__34-128","A","A_ds3_1",186540
"FLB45mB_ds3_1","f__34-128","B","B_ds3_1",111020
"FLB54mA_ds3_1","f__34-128","A","A_ds3_1",1696
"FLB57mdA_ds2_1","f__34-128","dA","dA_ds2_1",8119
"FLB57mdA_ds2_2","f__34-128","dA","dA_ds2_2",6356
"FLB57mdA_ds3_1","f__34-128","dA","dA_ds3_1",28460
"FLB57mdB_ds3_1","f__34-128","dB","dB_ds3_1",4726
"FLB57muA_ds3_1","f__34-128","uA","uA_ds3_1",43060
"FLB57muB_ds3_1","f__34-128","uB","uB_ds3_1",6022
"FLB00mA_ds3_1","f__VadinHA17","A","A_ds3_1",3035
"FLB00mB_ds3_1","f__VadinHA17","B","B_ds3_1",4898
"FLB01mA_ds2_1","f__VadinHA17","A","A_ds2_1",458
"FLB01mA_ds3_1","f__VadinHA17","A","A_ds3_1",8248
"FLB01mB_ds3_1","f__VadinHA17","B","B_ds3_1",75093
"FLB03mA_ds3_1","f__VadinHA17","A","A_ds3_1",7858
"FLB05mA_ds3_1","f__VadinHA17","A","A_ds3_1",4450
"FLB05mB_ds3_1","f__VadinHA17","B","B_ds3_1",1447
"FLB06mA_ds3_1","f__VadinHA17","A","A_ds3_1",5107
"FLB06mB_ds3_1","f__VadinHA17","B","B_ds3_1",4984
"FLB08mA_ds1_1","f__VadinHA17","A","A_ds1_1",28141
"FLB08mA_ds2_1","f__VadinHA17","A","A_ds2_1",37936
"FLB08mA_ds3_1","f__VadinHA17","A","A_ds3_1",44556
"FLB08mB_ds3_1","f__VadinHA17","B","B_ds3_1",21626
"FLB10mA_ds3_1","f__VadinHA17","A","A_ds3_1",6149
"FLB10mB_ds3_1","f__VadinHA17","B","B_ds3_1",60847
"FLB10mSdA_ds3_1","f__VadinHA17","dA","dA_ds3_1",2111
"FLB10mSdB_ds3_1","f__VadinHA17","dB","dB_ds3_1",1139
"FLB12mA_ds3_1","f__VadinHA17","A","A_ds3_1",12835
"FLB12mB_ds3_1","f__VadinHA17","B","B_ds3_1",9414
"FLB13mNA_ds3_1","f__VadinHA17","A","A_ds3_1",9855
"FLB13mNB_ds3_1","f__VadinHA17","B","B_ds3_1",9965
"FLB13mSA_ds2_1","f__VadinHA17","A","A_ds2_1",34
"FLB16mNdA_ds2_1","f__VadinHA17","dA","dA_ds2_1",4273
"FLB16mNdA_ds3_1","f__VadinHA17","dA","dA_ds3_1",30321
"FLB16mNdB_ds3_1","f__VadinHA17","dB","dB_ds3_1",27371
"FLB16mNuA_ds2_1","f__VadinHA17","uA","uA_ds2_1",5558
"FLB16mNuA_ds3_1","f__VadinHA17","uA","uA_ds3_1",16249
"FLB16mNuB_ds3_1","f__VadinHA17","uB","uB_ds3_1",14170
"FLB18mB_ds3_1","f__VadinHA17","B","B_ds3_1",1032
"FLB38mA_ds2_1","f__VadinHA17","A","A_ds2_1",9986
"FLB38mA_ds3_1","f__VadinHA17","A","A_ds3_1",33395
"FLB38mB_ds3_1","f__VadinHA17","B","B_ds3_1",7098
"FLB45mA_ds2_1","f__VadinHA17","A","A_ds2_1",1996
"FLB45mA_ds3_1","f__VadinHA17","A","A_ds3_1",115221
"FLB45mB_ds3_1","f__VadinHA17","B","B_ds3_1",67382
"FLB54mA_ds3_1","f__VadinHA17","A","A_ds3_1",316
"FLB57mdA_ds2_1","f__VadinHA17","dA","dA_ds2_1",18940
"FLB57mdA_ds2_2","f__VadinHA17","dA","dA_ds2_2",17956
"FLB57mdA_ds3_1","f__VadinHA17","dA","dA_ds3_1",62057
"FLB57mdB_ds3_1","f__VadinHA17","dB","dB_ds3_1",16799
"FLB57muA_ds3_1","f__VadinHA17","uA","uA_ds3_1",182583
"FLB57muB_ds3_1","f__VadinHA17","uB","uB_ds3_1",20197
"FLB00mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",2021
"FLB00mB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",2503
"FLB01mA_ds2_1","f__Humimicrobiaceae","A","A_ds2_1",123
"FLB01mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",3446
"FLB01mB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",6378
"FLB03mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",9388
"FLB05mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",4542
"FLB05mB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",1417
"FLB06mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",4273
"FLB06mB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",5182
"FLB08mA_ds1_1","f__Humimicrobiaceae","A","A_ds1_1",3442
"FLB08mA_ds2_1","f__Humimicrobiaceae","A","A_ds2_1",5444
"FLB08mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",10922
"FLB08mB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",2874
"FLB10mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",857
"FLB10mB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",7174
"FLB10mSdA_ds3_1","f__Humimicrobiaceae","dA","dA_ds3_1",3435
"FLB10mSdB_ds3_1","f__Humimicrobiaceae","dB","dB_ds3_1",1973
"FLB12mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",4517
"FLB12mB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",6997
"FLB13mNA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",6886
"FLB13mNB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",7039
"FLB13mSA_ds2_1","f__Humimicrobiaceae","A","A_ds2_1",46
"FLB16mNdA_ds2_1","f__Humimicrobiaceae","dA","dA_ds2_1",1543
"FLB16mNdA_ds3_1","f__Humimicrobiaceae","dA","dA_ds3_1",10698
"FLB16mNdB_ds3_1","f__Humimicrobiaceae","dB","dB_ds3_1",11833
"FLB16mNuA_ds2_1","f__Humimicrobiaceae","uA","uA_ds2_1",2163
"FLB16mNuA_ds3_1","f__Humimicrobiaceae","uA","uA_ds3_1",10850
"FLB16mNuB_ds3_1","f__Humimicrobiaceae","uB","uB_ds3_1",6016
"FLB18mB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",1751
"FLB38mA_ds2_1","f__Humimicrobiaceae","A","A_ds2_1",4058
"FLB38mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",19719
"FLB38mB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",4605
"FLB45mA_ds2_1","f__Humimicrobiaceae","A","A_ds2_1",1030
"FLB45mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",75165
"FLB45mB_ds3_1","f__Humimicrobiaceae","B","B_ds3_1",44412
"FLB54mA_ds3_1","f__Humimicrobiaceae","A","A_ds3_1",1221
"FLB57mdA_ds2_1","f__Humimicrobiaceae","dA","dA_ds2_1",46956
"FLB57mdA_ds2_2","f__Humimicrobiaceae","dA","dA_ds2_2",48698
"FLB57mdA_ds3_1","f__Humimicrobiaceae","dA","dA_ds3_1",168656
"FLB57mdB_ds3_1","f__Humimicrobiaceae","dB","dB_ds3_1",66697
"FLB57muA_ds3_1","f__Humimicrobiaceae","uA","uA_ds3_1",441438
"FLB57muB_ds3_1","f__Humimicrobiaceae","uB","uB_ds3_1",52531
"FLB00mA_ds3_1","f__SM23-61","A","A_ds3_1",11829
"FLB00mB_ds3_1","f__SM23-61","B","B_ds3_1",29297
"FLB01mA_ds2_1","f__SM23-61","A","A_ds2_1",0
"FLB01mA_ds3_1","f__SM23-61","A","A_ds3_1",140
"FLB01mB_ds3_1","f__SM23-61","B","B_ds3_1",1810
"FLB03mA_ds3_1","f__SM23-61","A","A_ds3_1",257
"FLB05mA_ds3_1","f__SM23-61","A","A_ds3_1",52
"FLB05mB_ds3_1","f__SM23-61","B","B_ds3_1",44
"FLB06mA_ds3_1","f__SM23-61","A","A_ds3_1",13520
"FLB06mB_ds3_1","f__SM23-61","B","B_ds3_1",3929
"FLB08mA_ds1_1","f__SM23-61","A","A_ds1_1",11106
"FLB08mA_ds2_1","f__SM23-61","A","A_ds2_1",18414
"FLB08mA_ds3_1","f__SM23-61","A","A_ds3_1",74827
"FLB08mB_ds3_1","f__SM23-61","B","B_ds3_1",23366
"FLB10mA_ds3_1","f__SM23-61","A","A_ds3_1",3099
"FLB10mB_ds3_1","f__SM23-61","B","B_ds3_1",14091
"FLB10mSdA_ds3_1","f__SM23-61","dA","dA_ds3_1",10282
"FLB10mSdB_ds3_1","f__SM23-61","dB","dB_ds3_1",6148
"FLB12mA_ds3_1","f__SM23-61","A","A_ds3_1",4664
"FLB12mB_ds3_1","f__SM23-61","B","B_ds3_1",2845
"FLB13mNA_ds3_1","f__SM23-61","A","A_ds3_1",5899
"FLB13mNB_ds3_1","f__SM23-61","B","B_ds3_1",7185
"FLB13mSA_ds2_1","f__SM23-61","A","A_ds2_1",315
