"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB00mA_ss4_1","f__34-128","A","A_ss4_1",21727
"FLB00mA_ss4_2a","f__34-128","A","A_ss4_2",16036
"FLB00mA_ss4_2b","f__34-128","A","A_ss4_2",18806
"FLB00mB_ss4_1","f__34-128","B","B_ss4_1",13500
"FLB01mA_ss4_1","f__34-128","A","A_ss4_1",2050
"FLB01mB_ss4_1","f__34-128","B","B_ss4_1",4522
"FLB03mA_ss4_1","f__34-128","A","A_ss4_1",18185
"FLB03mA_ss4_2","f__34-128","A","A_ss4_2",4267
"FLB05mA_ss4_1","f__34-128","A","A_ss4_1",3924
"FLB05mA_ss4_2","f__34-128","A","A_ss4_2",4916
"FLB05mB_ss4_1","f__34-128","B","B_ss4_1",4085
"FLB05mB_ss4_2a","f__34-128","B","B_ss4_2",5173
"FLB05mB_ss4_2b","f__34-128","B","B_ss4_2",5779
"FLB05mB_ss4_3a","f__34-128","B","B_ss4_3",2760
"FLB05mB_ss4_3b","f__34-128","B","B_ss4_3",2720
"FLB06mA_ss4_1","f__34-128","A","A_ss4_1",3400
"FLB06mA_ss4_2","f__34-128","A","A_ss4_2",3362
"FLB06mB_ss4_1","f__34-128","B","B_ss4_1",18961
"FLB06mB_ss4_2a","f__34-128","B","B_ss4_2",11609
"FLB06mB_ss4_2b","f__34-128","B","B_ss4_2",14770
"FLB08mA_ss4_1","f__34-128","A","A_ss4_1",44179
"FLB08mA_ss4_2b","f__34-128","A","A_ss4_2",4495
"FLB08mB_ss4_1","f__34-128","B","B_ss4_1",1335
"FLB08mB_ss4_2a","f__34-128","B","B_ss4_2a",3671
"FLB10mA_ss4_1","f__34-128","A","A_ss4_1",3734
"FLB10mA_ss4_2a","f__34-128","A","A_ss4_2",5420
"FLB10mA_ss4_2b","f__34-128","A","A_ss4_2",4076
"FLB10mA_ss4_3a","f__34-128","A","A_ss4_3",3662
"FLB10mA_ss4_3b","f__34-128","A","A_ss4_3",1937
"FLB10mB_ss4_1","f__34-128","B","B_ss4_1",5896
"FLB10mB_ss4_2a","f__34-128","B","B_ss4_2",18701
"FLB10mB_ss4_2b","f__34-128","B","B_ss4_2",14313
"FLB10mB_ss4_3a","f__34-128","B","B_ss4_3",18234
"FLB10mB_ss4_3b","f__34-128","B","B_ss4_3",13523
"FLB10mSdA_ss4_1","f__34-128","dA","dA_ss4_1",5200
"FLB10mSdA_ss4_2a","f__34-128","dA","dA_ss4_2",1737
"FLB10mSdA_ss4_2b","f__34-128","dA","dA_ss4_2",2628
"FLB12mA_ss4_1","f__34-128","A","A_ss4_1",6515
"FLB13mNB_ss4_1","f__34-128","B","B_ss4_1",5915
"FLB16mNdA_ss4_1","f__34-128","dA","dA_ss4_1",11696
"FLB16mNdA_ss4_2a","f__34-128","dA","dA_ss4_2",15262
"FLB16mNdA_ss4_2b","f__34-128","dA","dA_ss4_2",17277
"FLB16mNdB_ss4_1","f__34-128","dB","dB_ss4_1",885
"FLB16mNdB_ss4_2","f__34-128","dB","dB_ss4_2",48080
"FLB16mNuA_ss4_1","f__34-128","uA","uA_ss4_1",37444
"FLB16mNuA_ss4_2","f__34-128","uA","uA_ss4_2",10628
"FLB16mNuA_ss4_3","f__34-128","uA","uA_ss4_3",4295
"FLB16mNuA_ss4_4","f__34-128","uA","uA_ss4_4",5110
"FLB34mA_ss4_1","f__34-128","A","A_ss4_1",10606
"FLB38mA_ss4_1","f__34-128","A","A_ss4_1",13068
"FLB38mA_ss4_2a","f__34-128","A","A_ss4_2",57951
"FLB38mA_ss4_2b","f__34-128","A","A_ss4_2",42068
"FLB38mB_ss4_1","f__34-128","B","B_ss4_1",13851
"FLB45mA_ss4_1","f__34-128","A","A_ss4_1",8599
"FLB45mA_ss4_2","f__34-128","A","A_ss4_2",64952
"FLB45mB_ss4_1","f__34-128","B","B_ss4_1",17242
"FLB45mB_ss4_2","f__34-128","B","B_ss4_2",27219
"FLB57muA_ss4_1","f__34-128","uA","uA_ss4_1",2170
"FLB00mA_ss4_1","f__VadinHA17","A","A_ss4_1",4649
"FLB00mA_ss4_2a","f__VadinHA17","A","A_ss4_2",3792
"FLB00mA_ss4_2b","f__VadinHA17","A","A_ss4_2",4394
"FLB00mB_ss4_1","f__VadinHA17","B","B_ss4_1",3314
"FLB01mA_ss4_1","f__VadinHA17","A","A_ss4_1",3961
"FLB01mB_ss4_1","f__VadinHA17","B","B_ss4_1",2128
"FLB03mA_ss4_1","f__VadinHA17","A","A_ss4_1",5492
"FLB03mA_ss4_2","f__VadinHA17","A","A_ss4_2",1245
"FLB05mA_ss4_1","f__VadinHA17","A","A_ss4_1",1473
"FLB05mA_ss4_2","f__VadinHA17","A","A_ss4_2",1994
"FLB05mB_ss4_1","f__VadinHA17","B","B_ss4_1",1803
"FLB05mB_ss4_2a","f__VadinHA17","B","B_ss4_2",2249
"FLB05mB_ss4_2b","f__VadinHA17","B","B_ss4_2",2512
"FLB05mB_ss4_3a","f__VadinHA17","B","B_ss4_3",1215
"FLB05mB_ss4_3b","f__VadinHA17","B","B_ss4_3",1245
"FLB06mA_ss4_1","f__VadinHA17","A","A_ss4_1",980
