library_type,library_id,profile_height,profile_location,core_replicate,tech_replicate,lane_rep
ds,FLB00mA_ds3_1,00m,00m,A,ds3_1,
ds,FLB00mB_ds3_1,00m,00m,B,ds3_1,
ds,FLB01mA_ds2_1,01m,01m,A,ds2_1,
ds,FLB01mA_ds3_1,01m,01m,A,ds3_1,
ds,FLB01mB_ds3_1,01m,01m,B,ds3_1,
ds,FLB03mA_ds3_1,03m,03m,A,ds3_1,
ds,FLB05mA_ds3_1,05m,05m,A,ds3_1,
ds,FLB05mB_ds3_1,05m,05m,B,ds3_1,
ds,FLB06mA_ds3_1,06m,06m,A,ds3_1,
ds,FLB06mB_ds3_1,06m,06m,B,ds3_1,
ds,FLB08mA_ds1_1,08m,08m,A,ds1_1,
ds,FLB08mA_ds2_1,08m,08m,A,ds2_1,
ds,FLB08mA_ds3_1,08m,08m,A,ds3_1,
ds,FLB08mB_ds3_1,08m,08m,B,ds3_1,
ds,FLB10mA_ds3_1,10m,10m,A,ds3_1,
ds,FLB10mB_ds3_1,10m,10m,B,ds3_1,
ds,FLB10mSdA_ds3_1,10m,10mS,dA,ds3_1,
ds,FLB10mSdB_ds3_1,10m,10mS,dB,ds3_1,
ds,FLB12mA_ds3_1,12m,12m,A,ds3_1,
ds,FLB12mB_ds3_1,12m,12m,B,ds3_1,
ds,FLB13mNA_ds3_1,13m,13mN,A,ds3_1,
ds,FLB13mNB_ds3_1,13m,13mN,B,ds3_1,
ds,FLB13mSA_ds2_1,13m,13mS,A,ds2_1,
ds,FLB16mNdA_ds2_1,16m,16mN,dA,ds2_1,
ds,FLB16mNdA_ds3_1,16m,16mN,dA,ds3_1,
ds,FLB16mNdB_ds3_1,16m,16mN,dB,ds3_1,
ds,FLB16mNuA_ds2_1,16m,16mN,uA,ds2_1,
ds,FLB16mNuA_ds3_1,16m,16mN,uA,ds3_1,
ds,FLB16mNuB_ds3_1,16m,16mN,uB,ds3_1,
ds,FLB18mB_ds3_1,18m,18m,B,ds3_1,
ds,FLB38mA_ds2_1,38m,38m,A,ds2_1,
ds,FLB38mA_ds3_1,38m,38m,A,ds3_1,
ds,FLB38mB_ds3_1,38m,38m,B,ds3_1,
ds,FLB45mA_ds2_1,45m,45m,A,ds2_1,
ds,FLB45mA_ds3_1,45m,45m,A,ds3_1,
ds,FLB45mB_ds3_1,45m,45m,B,ds3_1,
ds,FLB54mA_ds3_1,54m,54m,A,ds3_1,
ds,FLB57mdA_ds2_1,57m,57m,dA,ds2_1,
ds,FLB57mdA_ds2_2,57m,57m,dA,ds2_2,
ds,FLB57mdA_ds3_1,57m,57m,dA,ds3_1,
ds,FLB57mdB_ds3_1,57m,57m,dB,ds3_1,
ds,FLB57muA_ds3_1,57m,57m,uA,ds3_1,
ds,FLB57muB_ds3_1,57m,57m,uB,ds3_1,
ss,FLB00mA_ss4_1,00m,00m,A,ss4_1,
ss,FLB00mA_ss4_2a,00m,00m,A,ss4_2,a
ss,FLB00mA_ss4_2b,00m,00m,A,ss4_2,b
ss,FLB00mB_ss4_1,00m,00m,B,ss4_1,
ss,FLB01mA_ss4_1,01m,01m,A,ss4_1,
ss,FLB01mB_ss4_1,01m,01m,B,ss4_1,
ss,FLB03mA_ss4_1,03m,03m,A,ss4_1,
ss,FLB03mA_ss4_2,03m,03m,A,ss4_2,
ss,FLB05mA_ss4_1,05m,05m,A,ss4_1,
ss,FLB05mA_ss4_2,05m,05m,A,ss4_2,
ss,FLB05mB_ss4_1,05m,05m,B,ss4_1,
ss,FLB05mB_ss4_2a,05m,05m,B,ss4_2,a
ss,FLB05mB_ss4_2b,05m,05m,B,ss4_2,b
ss,FLB05mB_ss4_3a,05m,05m,B,ss4_3,a
ss,FLB05mB_ss4_3b,05m,05m,B,ss4_3,b
ss,FLB06mA_ss4_1,06m,06m,A,ss4_1,
ss,FLB06mA_ss4_2,06m,06m,A,ss4_2,
ss,FLB06mB_ss4_1,06m,06m,B,ss4_1,
ss,FLB06mB_ss4_2a,06m,06m,B,ss4_2,a
ss,FLB06mB_ss4_2b,06m,06m,B,ss4_2,b
ss,FLB08mA_ss4_1,08m,08m,A,ss4_1,
ss,FLB08mA_ss4_2b,08m,08m,A,ss4_2,b
ss,FLB08mB_ss4_1,08m,08m,B,ss4_1,
ss,FLB08mB_ss4_2a,08m,08m,B,ss4_2a,a
ss,FLB10mA_ss4_1,10m,10m,A,ss4_1,
ss,FLB10mA_ss4_2a,10m,10m,A,ss4_2,a
ss,FLB10mA_ss4_2b,10m,10m,A,ss4_2,b
ss,FLB10mA_ss4_3a,10m,10m,A,ss4_3,a
ss,FLB10mA_ss4_3b,10m,10m,A,ss4_3,b
ss,FLB10mB_ss4_1,10m,10m,B,ss4_1,
ss,FLB10mB_ss4_2a,10m,10m,B,ss4_2,a
ss,FLB10mB_ss4_2b,10m,10m,B,ss4_2,b
ss,FLB10mB_ss4_3a,10m,10m,B,ss4_3,a
ss,FLB10mB_ss4_3b,10m,10m,B,ss4_3,b
ss,FLB10mSdA_ss4_1,10m,10mS,dA,ss4_1,
ss,FLB10mSdA_ss4_2a,10m,10mS,dA,ss4_2,
ss,FLB10mSdA_ss4_2b,10m,10mS,dA,ss4_2,
ss,FLB12mA_ss4_1,12m,12m,A,ss4_1,
ss,FLB13mNB_ss4_1,13m,13mN,B,ss4_1,
ss,FLB16mNdA_ss4_1,16m,16mN,dA,ss4_1,
ss,FLB16mNdA_ss4_2a,16m,16mN,dA,ss4_2,
ss,FLB16mNdA_ss4_2b,16m,16mN,dA,ss4_2,
ss,FLB16mNdB_ss4_1,16m,16mN,dB,ss4_1,
ss,FLB16mNdB_ss4_2,16m,16mN,dB,ss4_2,
ss,FLB16mNuA_ss4_1,16m,16mN,uA,ss4_1,
ss,FLB16mNuA_ss4_2,16m,16mN,uA,ss4_2,
ss,FLB16mNuA_ss4_3,16m,16mN,uA,ss4_3,
ss,FLB16mNuA_ss4_4,16m,16mN,uA,ss4_4,
ss,FLB34mA_ss4_1,34m,34m,A,ss4_1,
ss,FLB38mA_ss4_1,38m,38m,A,ss4_1,
ss,FLB38mA_ss4_2a,38m,38m,A,ss4_2,a
ss,FLB38mA_ss4_2b,38m,38m,A,ss4_2,b
ss,FLB38mB_ss4_1,38m,38m,B,ss4_1,
ss,FLB45mA_ss4_1,45m,45m,A,ss4_1,
ss,FLB45mA_ss4_2,45m,45m,A,ss4_2,
ss,FLB45mB_ss4_1,45m,45m,B,ss4_1,
ss,FLB45mB_ss4_2,45m,45m,B,ss4_2,
ss,FLB57muA_ss4_1,57m,57m,uA,ss4_1,
